date,iron_ore,coal_price,hrc_china,hrc_europe,hrc_russia,raw_plus_coal,avg_imported_hrc,crc_mumbai,inc_goods,inflation,automobile,hrc_import,hrc_export,hrc_production,hms_mumbai,gdp_india,pui_india,hrc_india
2024-06-10,10483.0,22975.0,45403.0,58000.0,47908.0,29750.0,48120.0,60600.0,185.1,190.2,584064.0,59532.0,4514.0,1137823.0,35433.0,4017368.336735,83.0,54000.0
2024-06-17,10584.0,23031.0,45419.0,57865.0,48342.0,29952.0,48088.0,60300.0,185.1,190.2,584064.0,105418.0,0.0,1137823.0,34600.0,4017368.336735,83.0,53900.0
2024-06-24,10289.0,21426.0,44465.0,57738.0,46966.0,28468.0,30453.0,59900.0,185.1,190.2,584063.75,120518.0,0.0,1137823.0,33733.0,4017368.336735,83.0,53600.0
2024-07-01,10741.0,22315.0,44459.0,57849.0,46964.0,29870.0,39554.0,60050.0,185.1,190.2,584063.75,0.0,21900.0,1137823.0,33816.0,4017368.336735,83.0,53200.0
2024-07-08,10533.0,22542.0,44038.0,57538.0,46961.0,29696.0,44936.0,59600.0,185.1,190.2,584064.0,72923.0,41046.0,1137823.0,33100.0,4017368.336735,83.0,52750.0
2024-07-15,10383.0,21200.0,44140.0,58546.0,47070.0,28591.0,38574.0,59750.0,185.1,190.2,584064.0,72610.0,4514.0,1137823.0,33066.0,4017368.336735,83.0,52100.0
2024-07-22,10107.0,20569.0,43294.0,59208.0,47060.0,27736.0,29933.0,59300.0,185.1,190.2,584063.75,74006.0,0.0,1137823.0,33500.0,4017368.336735,83.0,51500.0
